Time,accX,accY,accZ
0.437 sec,-6.832,-15.616,963.8
0.439 sec,-10.736,-14.274,962.336
0.442 sec,-6.954,-15.982,961.36
0.444 sec,-8.052,-14.152,961.36
0.446 sec,-7.32,-14.274,962.824
0.448 sec,-6.344,-14.274,963.312
0.45 sec,-8.052,-13.908,963.8
0.452 sec,-8.052,-15.494,962.092
0.454 sec,-7.564,-15.128,961.604
0.456 sec,-4.27,-15.128,968.192
0.458 sec,-6.466,-14.152,964.41
0.46 sec,-8.662,-15.006,959.652
0.462 sec,-3.66,-15.25,966.972
0.464 sec,-4.758,-14.762,963.19
0.467 sec,-7.076,-15.128,963.068
0.469 sec,-9.028,-15.86,964.776
0.471 sec,-9.272,-16.47,965.264
0.473 sec,-9.272,-14.762,961.36
0.475 sec,-8.174,-12.81,963.556
0.477 sec,-5.978,-12.81,965.63
0.479 sec,-7.808,-14.274,961.604
0.481 sec,-7.564,-14.518,961.97
0.483 sec,-5.002,-15.25,961.97
0.485 sec,-4.758,-13.664,965.02
0.487 sec,-11.59,-14.762,963.312
0.489 sec,-4.026,-15.616,959.286
0.492 sec,-9.638,-15.738,966.606
0.494 sec,-9.638,-15.616,963.556
0.496 sec,-5.978,-16.348,964.288
0.498 sec,-3.782,-16.348,965.264
0.5 sec,-8.296,-14.152,963.434
0.502 sec,-7.808,-16.592,960.384
0.504 sec,-5.368,-16.104,960.384
0.506 sec,-7.076,-13.176,966.484
0.508 sec,-9.76,-14.518,965.874
0.51 sec,-5.978,-14.64,961.726
0.512 sec,-6.832,-16.104,965.264
0.514 sec,-7.32,-15.494,962.702
0.517 sec,-4.514,-13.054,961.116
0.519 sec,-6.222,-13.054,966.85
0.521 sec,-9.15,-15.616,963.8
0.523 sec,-10.126,-15.982,960.872
0.525 sec,-5.002,-15.25,960.872
0.527 sec,-8.54,-12.2,964.044
0.529 sec,-9.272,-16.47,965.752
0.531 sec,-5.734,-15.25,957.456
0.533 sec,-4.148,-16.348,964.532
0.535 sec,-8.052,-15.738,961.848
0.537 sec,-7.93,-15.25,960.872
0.539 sec,-9.272,-14.274,961.97
0.542 sec,-7.808,-16.958,962.58
0.544 sec,-11.59,-15.372,959.286
0.546 sec,-7.686,-16.226,959.286
0.548 sec,-5.612,-13.542,963.922
0.55 sec,-10.98,-15.86,967.948
0.552 sec,-4.27,-16.836,961.238
0.554 sec,-4.758,-14.274,965.996
0.556 sec,-7.32,-17.446,967.338
0.558 sec,-6.222,-15.006,963.19
0.56 sec,-9.272,-16.47,965.508
0.562 sec,-9.882,-16.348,962.336
0.564 sec,-3.538,-15.982,963.556
0.567 sec,-6.466,-14.152,962.824
0.569 sec,-9.028,-15.372,963.312
0.571 sec,-6.71,-15.25,965.264
0.573 sec,-5.978,-14.274,963.068
0.575 sec,-6.71,-16.104,967.826
0.577 sec,-8.784,-14.762,966.24
0.579 sec,-9.394,-17.08,963.556
0.581 sec,-5.368,-14.64,961.97
0.583 sec,-9.028,-15.494,965.63
0.585 sec,-7.564,-13.786,962.336
0.587 sec,-5.612,-14.518,960.872
0.589 sec,-6.832,-13.542,960.018
0.592 sec,-8.418,-14.274,958.31
0.594 sec,-6.1,-14.64,961.97
0.596 sec,-2.806,-15.86,962.092
0.598 sec,-7.564,-15.006,966.85
0.6 sec,-8.418,-14.518,961.36
0.602 sec,-4.392,-14.274,959.652
0.604 sec,-11.956,-15.006,968.436
0.606 sec,-9.028,-14.762,958.554
0.608 sec,-4.758,-14.396,962.58
0.61 sec,-7.808,-15.128,961.726
0.612 sec,-8.662,-14.03,961.97
0.614 sec,-6.344,-14.396,961.604
0.617 sec,-8.784,-16.226,964.166
0.619 sec,-11.468,-15.86,968.192
0.621 sec,-5.734,-15.616,956.48
0.623 sec,-3.782,-12.2,961.604
0.625 sec,-11.712,-14.518,966.728
0.627 sec,-8.54,-16.348,958.92
0.629 sec,-4.392,-13.786,963.556
0.631 sec,-10.492,-14.518,964.776
0.633 sec,-7.198,-16.592,961.238
0.635 sec,-6.954,-14.884,963.434
0.637 sec,-6.344,-14.64,962.58
0.639 sec,-7.808,-14.152,965.996
0.642 sec,-6.954,-14.64,961.726
0.644 sec,-3.782,-12.444,962.092
0.646 sec,-9.272,-14.884,967.094
0.648 sec,-5.246,-15.982,960.994
0.65 sec,-6.222,-14.274,961.97
0.652 sec,-5.856,-15.128,963.678
0.654 sec,-6.1,-14.884,961.238
0.656 sec,-6.71,-16.592,962.336
0.658 sec,-6.1,-13.176,963.434
0.66 sec,-7.32,-14.274,965.874
0.662 sec,-7.32,-15.128,961.482
0.664 sec,-8.174,-16.592,959.896
0.667 sec,-6.954,-15.86,960.994
0.669 sec,-7.076,-14.762,958.554
0.671 sec,-5.978,-12.932,963.068
0.673 sec,-8.174,-15.128,964.898
0.675 sec,-6.466,-15.982,961.36
0.677 sec,-7.32,-15.372,961.36
0.679 sec,-8.052,-15.006,962.702
0.681 sec,-7.564,-13.908,965.264
0.683 sec,-7.564,-13.908,962.58
0.685 sec,-7.442,-14.64,959.896
0.687 sec,-2.928,-14.64,965.386
