Time,accX,accY,accZ
0.579 sec,-664.656,225.578,847.9
0.581 sec,-664.656,39.528,778.482
0.583 sec,-242.048,-168.97,1093.364
0.585 sec,424.438,-266.326,1124.352
0.588 sec,1026.752,-407.48,1040.538
0.59 sec,29.524,-148.23,1570.14
0.592 sec,-829.6,-347.334,557.662
0.594 sec,-629.276,-316.468,574.01
0.597 sec,-338.062,-301.218,-39.04
0.599 sec,-309.392,-68.442,500.688
0.601 sec,-417.728,159.698,1228.296
0.604 sec,-128.1,-99.918,775.92
0.606 sec,431.026,214.964,1191.696
0.608 sec,1077.748,214.964,1654.808
0.61 sec,1203.042,68.076,1047.858
0.612 sec,96.136,253.638,700.768
0.615 sec,-507.886,-13.542,468.236
0.617 sec,-400.404,-64.416,591.578
0.619 sec,-574.864,-114.436,535.58
0.621 sec,-482.754,111.264,984.784
0.623 sec,-482.754,-388.814,458.476
0.626 sec,686.86,-197.152,954.406
0.628 sec,1294.542,127.978,2027.152
0.63 sec,939.156,-68.93,1304.546
0.633 sec,-161.772,-29.89,471.53
0.635 sec,-795.44,-267.424,484.34
0.637 sec,-496.418,621.834,378.322
0.64 sec,-428.098,-237.29,438.956
0.642 sec,-307.318,247.172,614.758
0.644 sec,-307.318,251.076,908.29
0.646 sec,38.674,-112.484,647.088
0.648 sec,797.758,-91.256,1805.966
0.651 sec,772.382,-332.938,1290.638
0.653 sec,-243.146,-264.374,1296.25
0.656 sec,-674.416,-396.012,440.42
0.658 sec,-440.908,-3.294,622.688
0.66 sec,-478.728,-123.708,208.864
0.662 sec,-521.428,143.716,941.23
0.665 sec,78.08,-207.766,584.99
0.667 sec,82.594,388.204,1205.97
0.669 sec,954.406,-6.588,1192.672
0.671 sec,916.83,-6.588,1224.27
0.673 sec,439.566,369.538,1028.46
0.675 sec,-537.044,-18.422,794.83
0.678 sec,-268.034,372.344,454.572
0.68 sec,-497.028,-387.594,416.142
0.682 sec,-542.412,-7.442,970.144
0.684 sec,-174.826,191.174,785.07
0.687 sec,74.42,25.498,837.408
0.689 sec,770.674,182.024,1321.26
0.691 sec,910.974,-267.302,1072.014
0.693 sec,458.72,309.392,1188.402
0.695 sec,-493.124,-14.274,1016.382
0.698 sec,-419.802,-335.988,453.84
0.7 sec,-539.24,188.856,385.642
0.702 sec,-762.134,-61.854,615.612
0.704 sec,-525.21,161.65,598.776
0.707 sec,369.294,107.36,839.97
0.709 sec,365.268,-67.954,1524.512
0.711 sec,876.936,-155.428,1165.222
0.713 sec,936.838,-155.428,1424.35
0.716 sec,-687.592,-15.738,1270.508
0.718 sec,-332.816,-538.996,679.052
0.72 sec,-323.178,-379.176,722.606
0.723 sec,-561.322,-145.668,1068.354
0.725 sec,-477.508,-117.486,552.294
0.727 sec,-181.536,-72.712,481.168
0.729 sec,547.78,-148.474,988.322
0.732 sec,861.808,-214.72,1533.784
0.734 sec,1229.272,-214.72,1164.612
0.736 sec,174.704,-62.83,1002.352
0.739 sec,-770.552,-456.28,434.686
0.741 sec,-373.93,90.768,568.764
0.743 sec,-718.702,74.054,984.906
0.745 sec,-459.696,-12.444,259.86
0.748 sec,-313.784,256.444,379.298
0.75 sec,547.17,217.038,1031.022
0.752 sec,869.982,-337.696,1474.736
0.754 sec,943.182,-497.272,1252.086
0.757 sec,-60.268,-50.02,655.14
0.759 sec,-851.072,74.908,67.588
0.761 sec,-938.79,-167.994,67.588
0.763 sec,-301.218,364.902,869.128
0.765 sec,-403.698,-120.658,44.408
0.768 sec,-127.002,78.08,351.848
0.77 sec,408.7,-34.404,1008.818
0.772 sec,408.7,-303.414,1361.154
0.774 sec,1007.964,-276.086,1415.566
0.777 sec,-12.688,-4.514,986.492
0.779 sec,-1056.886,-61,-46.97
0.781 sec,-792.512,119.56,384.544
0.783 sec,-392.84,419.558,540.338
0.785 sec,-493.49,26.84,373.808
0.788 sec,-386.496,-155.55,603.778
0.79 sec,-114.68,-20.374,896.212
0.792 sec,781.044,-157.014,594.018
0.794 sec,1122.156,-167.506,934.642
0.797 sec,860.71,-81.496,1198.894
0.799 sec,-184.342,-186.05,771.65
0.801 sec,-742.98,-445.544,870.714
0.803 sec,-401.38,508.252,320.006
0.806 sec,-402.234,-28.06,365.024
0.808 sec,-258.396,23.79,869.494
0.81 sec,99.064,-362.95,630.008
0.812 sec,822.768,-857.782,1343.22
0.815 sec,1261.114,-211.06,1733.376
0.817 sec,509.106,266.692,1326.506
0.819 sec,-312.198,-29.402,647.698
0.822 sec,-659.654,430.172,673.318
0.824 sec,-533.14,-78.08,673.318
0.826 sec,-576.694,-250.588,549.61
0.828 sec,-476.898,0.854,799.466
0.83 sec,-308.538,-240.34,910.974
0.833 sec,932.446,143.838,1227.198
0.835 sec,932.446,311.588,1393.24
0.837 sec,1313.452,144.57,965.996
0.84 sec,-610.122,532.164,1424.838
0.842 sec,-723.704,2.562,1104.954
0.844 sec,-228.14,260.226,279.746
0.846 sec,-206.546,-140.3,857.538
0.849 sec,-305.244,43.188,725.168
0.851 sec,-184.708,75.884,796.782
0.853 sec,67.832,23.424,971.364
0.855 sec,912.926,-142.252,1771.806
