Time,accX,accY,accZ
0.596 sec,681.98,-165.188,108.946
0.598 sec,1310.158,-50.264,1375.184
0.601 sec,1327.36,196.42,1149.362
0.603 sec,158.234,51.728,1318.942
0.605 sec,-577.06,-142.13,1355.786
0.608 sec,-724.68,-277.55,1032.974
0.61 sec,-724.68,-144.204,830.698
0.613 sec,-798.002,60.39,463.844
0.615 sec,11.59,-220.576,-70.272
0.617 sec,705.038,67.466,-150.426
0.619 sec,1325.164,261.202,512.034
0.622 sec,367.342,220.332,1450.092
0.624 sec,-431.026,7.076,1650.172
0.626 sec,-682.59,-56.242,1377.746
0.629 sec,-491.904,-66.734,1078.236
0.631 sec,-398.208,85.156,623.664
0.633 sec,-381.86,56.974,660.142
0.636 sec,297.07,-252.54,-7.198
0.638 sec,921.832,-117.12,728.584
0.64 sec,1361.032,-165.676,1062.986
0.642 sec,993.812,173.362,1500.112
0.645 sec,-124.806,230.824,1662.494
0.647 sec,-687.714,51.972,1195.844
0.65 sec,-875.594,-178.486,1065.06
0.652 sec,-875.594,-163.114,924.394
0.654 sec,-875.716,3.904,505.934
0.657 sec,308.538,118.95,49.288
0.659 sec,1203.408,566.69,393.45
0.661 sec,1105.076,618.296,1048.59
0.663 sec,-72.956,566.324,1595.638
0.665 sec,-692.472,569.74,1641.632
0.668 sec,-414.434,451.156,1533.052
0.67 sec,-259.738,272.06,977.098
0.673 sec,-269.01,-485.926,632.326
0.675 sec,-269.01,-295.118,518.744
0.678 sec,647.332,-624.03,-294.02
0.68 sec,1050.176,-0.244,1257.576
0.682 sec,1538.298,-55.51,1314.184
0.685 sec,470.066,111.264,1489.62
0.687 sec,-442.006,153.72,1338.828
0.689 sec,-755.302,195.322,994.91
0.692 sec,-1010.282,-194.834,1234.274
0.694 sec,-896.456,-119.804,779.702
0.696 sec,-896.456,-193.98,46.604
0.699 sec,487.512,147.742,-170.922
0.701 sec,971.73,-172.02,-183.976
0.704 sec,837.652,115.778,1984.574
0.706 sec,-252.418,-37.21,1984.574
0.708 sec,-685.03,-140.3,1543.666
0.711 sec,-387.838,-333.914,1103.856
0.713 sec,-299.998,-387.106,1050.176
0.716 sec,-105.652,50.752,693.936
0.718 sec,94.428,-57.096,90.646
0.72 sec,1059.936,27.694,309.27
0.722 sec,1625.65,165.066,1131.672
0.724 sec,1121.79,269.376,1120.936
0.727 sec,-113.216,143.594,1460.828
0.729 sec,-711.138,-127.49,1077.382
0.731 sec,-683.81,145.912,1227.32
0.734 sec,-930.372,-45.262,936.716
0.736 sec,-677.588,-313.052,330.864
0.739 sec,-20.13,-496.052,305.366
0.741 sec,876.814,-8.906,25.986
0.743 sec,1106.662,157.746,635.254
0.745 sec,170.068,406.748,1484.496
0.748 sec,-384.544,267.912,1283.196
0.75 sec,-561.444,53.07,1122.888
0.752 sec,-438.956,-3.66,1170.346
0.755 sec,-221.796,258.03,622.444
0.757 sec,-86.864,-171.898,-289.994
0.759 sec,-86.864,100.772,178.364
0.762 sec,1062.376,97.356,673.44
0.764 sec,1372.378,-592.92,805.444
0.766 sec,927.932,159.332,1365.424
0.769 sec,-308.538,234.24,1129.842
0.771 sec,-770.674,237.29,1139.114
0.773 sec,-793.61,62.586,1080.188
0.775 sec,-943.06,-365.512,989.298
0.778 sec,-677.1,-269.254,434.442
0.78 sec,-677.1,426.512,-255.468
0.783 sec,1047.248,80.52,660.63
0.785 sec,1006.5,158.234,768.722
0.787 sec,-200.08,340.38,1995.676
0.79 sec,-585.356,608.536,1504.016
0.792 sec,-611.464,31.964,1359.69
0.794 sec,-250.222,-228.018,1397.754
0.797 sec,-13.42,10.492,593.652
0.799 sec,-73.2,-356.972,334.28
0.801 sec,-73.2,-297.07,241.804
0.804 sec,970.022,-94.428,1018.822
0.806 sec,1432.158,430.66,932.568
0.808 sec,317.932,-159.942,1117.398
0.811 sec,-638.67,-178.364,1375.55
