Time,accX,accY,accZ
0.542 sec,870.104,210.206,1125.938
0.545 sec,-463.6,-316.224,1913.082
0.547 sec,-446.276,-97.478,1348.71
0.549 sec,-646.966,-129.686,1131.184
0.552 sec,-119.194,-170.312,622.81
0.554 sec,-13.42,-110.898,700.768
0.556 sec,186.66,-32.33,1051.396
0.559 sec,332.572,203.862,508.74
0.561 sec,704.794,308.538,1104.344
0.563 sec,961.604,-436.882,1043.222
0.566 sec,28.06,165.31,980.758
0.568 sec,17.324,1.22,1010.77
0.57 sec,-825.574,-640.988,775.554
0.572 sec,-940.62,-153.598,602.07
0.575 sec,-972.218,241.316,1267.336
0.577 sec,-531.676,-172.63,451.766
0.579 sec,-159.21,-133.834,630.618
0.582 sec,888.648,457.744,1041.636
0.584 sec,1070.916,324.032,880.352
0.586 sec,-228.384,355.63,1003.45
0.589 sec,-470.188,-118.828,1535.614
0.591 sec,-746.64,446.52,540.216
0.594 sec,-203.13,-23.668,781.41
0.596 sec,134.566,274.134,779.336
0.598 sec,210.084,-458.964,687.592
0.601 sec,582.916,-281.332,783.362
0.603 sec,832.04,-290.36,1576.972
0.605 sec,1605.032,-491.904,1008.94
0.608 sec,-500.2,-372.222,1249.768
0.61 sec,-512.034,-55.022,662.338
0.613 sec,-1001.864,250.222,799.466
0.615 sec,-905.972,174.338,867.42
0.617 sec,-938.546,380.03,614.514
0.62 sec,-507.886,735.05,202.642
0.622 sec,373.32,412.604,401.99
0.624 sec,937.692,202.032,1250.744
0.627 sec,-358.68,-246.928,1749.114
0.629 sec,-358.68,-196.542,1213.9
0.631 sec,-742.004,-343.552,1177.056
0.634 sec,-72.712,122.488,835.822
0.636 sec,-4.88,-447.374,850.096
0.638 sec,123.342,-428.464,611.586
0.641 sec,248.758,-89.67,769.088
0.643 sec,738.466,296.338,1200.48
0.645 sec,863.15,-35.624,1089.094
0.648 sec,399.184,-35.868,612.318
0.65 sec,399.184,240.828,1154.242
0.652 sec,-722.362,-91.012,622.932
0.654 sec,-976.122,108.458,632.204
0.657 sec,-885.72,68.442,969.412
0.659 sec,-663.192,-72.224,434.808
0.661 sec,-295.118,-204.228,532.042
0.664 sec,574.62,-172.02,605.852
