Time,accX,accY,accZ
0.922 sec,-1013.698,-340.014,465.308
0.925 sec,-458.598,256.81,116.51
0.927 sec,-782.386,456.524,691.984
0.929 sec,-361.974,484.706,1033.462
0.932 sec,-179.584,-368.684,1015.162
0.934 sec,1068.354,-88.816,930.86
0.936 sec,1539.762,218.746,1733.864
0.939 sec,332.694,217.526,1302.96
0.941 sec,-618.906,-310.124,727.12
0.944 sec,-331.962,402.966,662.46
0.946 sec,-244.244,-236.07,251.686
0.948 sec,-681.858,252.296,1290.638
0.951 sec,-123.83,-218.868,1095.56
0.953 sec,86.62,-315.858,864.736
0.956 sec,951.356,-159.332,409.066
0.958 sec,1407.88,-159.332,1570.262
0.96 sec,698.206,-131.516,1101.66
0.963 sec,-775.066,-304.756,429.684
0.965 sec,-301.828,313.052,394.426
0.968 sec,-358.68,234.728,367.098
0.97 sec,-767.624,307.318,1289.662
0.972 sec,-282.918,194.834,725.9
0.975 sec,61.61,-335.744,832.528
0.977 sec,966.85,76.738,2237.358
0.979 sec,1471.076,17.934,1040.172
0.981 sec,436.394,-356.24,655.75
0.984 sec,-745.786,-693.814,721.996
0.986 sec,-313.54,-24.278,485.926
0.989 sec,-466.284,8.662,566.446
0.991 sec,-801.296,-142.862,1231.59
0.993 sec,-145.546,-133.712,487.39
0.996 sec,5.002,-229.116,1144.604
0.998 sec,1039.684,337.208,1868.674
1 sec,1324.432,9.272,1249.646
1.002 sec,602.924,-123.098,747.006
1.005 sec,-762.378,-460.428,172.508
1.007 sec,-395.158,265.96,449.692
1.01 sec,-571.448,141.52,674.05
1.012 sec,-718.702,-142.618,1085.8
1.014 sec,-142.618,-159.454,737.856
1.017 sec,13.176,-37.454,1340.902
1.019 sec,868.396,186.904,2076.318
1.021 sec,1287.588,18.544,994.3
1.024 sec,-259.25,-364.78,763.964
1.026 sec,-690.642,-618.54,538.264
1.028 sec,-501.664,295.728,758.474
1.031 sec,-627.202,93.208,650.26
1.033 sec,-857.416,-262.056,859.002
1.035 sec,-158.478,0.732,75.64
1.037 sec,125.782,36.722,872.788
1.04 sec,1020.652,-161.65,1792.912
1.042 sec,1248.06,-5.49,1058.106
1.044 sec,575.352,-285.602,782.02
1.047 sec,-676.612,-730.536,910.364
1.049 sec,-518.988,-148.352,925.858
1.052 sec,-580.11,100.528,598.654
1.054 sec,-609.146,5.368,559.614
1.056 sec,-493.734,-139.69,676.124
1.058 sec,116.022,-112.606,498.98
1.061 sec,1082.628,52.338,1706.658
1.063 sec,1414.59,-41.358,1316.624
1.065 sec,336.476,266.082,864.98
1.068 sec,-496.418,131.394,1261.358
1.07 sec,-342.82,-452.864,1017.48
1.072 sec,-407.236,-486.048,705.648
1.075 sec,-674.294,-4.514,432.002
1.077 sec,-412.848,-146.278,535.214
1.079 sec,49.044,-488,1373.964
1.082 sec,1163.636,195.078,1889.902
1.084 sec,1566.114,-68.198,830.82
1.087 sec,-660.752,164.944,1053.958
1.089 sec,-864.98,-75.64,1424.96
1.091 sec,-414.19,4.27,532.408
1.093 sec,-299.144,-389.668,581.452
1.096 sec,-396.622,98.576,326.838
1.098 sec,-471.53,-118.462,119.682
1.1 sec,49.776,206.79,1012.112
1.103 sec,1129.964,576.816,1842.81
1.105 sec,1657.004,412.848,794.708
1.107 sec,413.58,410.042,978.684
1.11 sec,-964.898,-6.344,1512.312
1.112 sec,-382.47,114.558,560.224
1.114 sec,-306.708,-216.672,428.708
1.117 sec,-435.418,-123.708,467.626
1.119 sec,-337.208,176.412,1121.668
1.121 sec,28.426,-496.54,1072.624
1.124 sec,875.594,-299.388,1390.068
1.126 sec,1426.912,71.004,1092.022
1.128 sec,453.962,111.508,1142.408
1.13 sec,-417.85,-131.394,770.796
1.133 sec,-386.862,396.866,309.514
1.135 sec,-509.96,507.398,330.132
1.138 sec,-741.15,422.852,916.952
1.14 sec,-316.468,-155.428,958.798
1.142 sec,-81.252,-423.584,1047.858
1.145 sec,1333.582,-202.642,1186.572
1.147 sec,1425.082,4.514,1274.412
1.149 sec,295.118,-162.138,1204.872
1.152 sec,-822.524,-492.636,892.918
1.154 sec,-91.256,546.804,428.22
1.156 sec,-303.292,59.17,423.096
1.159 sec,-678.564,401.38,787.266
1.161 sec,-462.014,64.782,929.03
1.163 sec,224.846,-13.786,844.972
1.166 sec,1393.972,3.172,1838.54
1.168 sec,1509.018,283.772,840.092
1.17 sec,452.498,283.772,1145.824
